href,text,type
https://straitstimes.com/singapore/bond-free-lim-kim-san-memorial-scholarship-for-study-in-local-unis-open-for-application-till-april,Bond-free Lim Kim San Memorial Scholarship for study at local unis open for application,a
https://straitstimes.com/singapore/politics/first-mount-pleasant-bto-project-to-be-launched-in-october,First Mount Pleasant BTO project to be launched in October ,a
https://cassette.sphdigital.com.sg/image/straitstimes/1d8f1297622fa328ef4422cee1e44835791fbbad192fbb31cadd32e90c1f0d37,"The review panel on Feb 25 submitted its report for review by SM Teo, who accepted the findings and reported them to Prime Minister Lawrence Wong the next day.",img
https://cassette.sphdigital.com.sg/image/straitstimes/dc9deda6c6459398da98e02132863e58517f507e795dbcc1b74ccd4bb9ab2a5f,Singapore Civil Defence Force firefighters took four days to extinguish the fire.,img
https://cassette.sphdigital.com.sg/image/straitstimes/8c7b83ec80eaf7fd9cf665f5b4601f8600e97e24ccee3be038a626323ca93954,The trio’s cases have been adjourned to March 7.,img
https://cassette.sphdigital.com.sg/image/straitstimes/04f4ebe0ede74bcb0ba627af4cbee156d3ab2e620d50c11c52961ea52cda1e17,"Piyush Gupta, Chief Executive Officer and Director of DBS Group at Marina Bay Financial Centre Tower 3 on Oct 26, 2022.",img
https://e-paper-cover.sph.com.sg/ST_cover.png,Epaper cover,img
https://cassette.sphdigital.com.sg/image/straitstimes/9d50ee69e090ea308f797c93ec1e2b00b1cb804dfb04378f3cea9be63d645adf,Posed photo of a person crouching in a corner in desolation with a laptop in the foreground to illustrate a story on online bullying (cyber bullying).,img
https://cassette.sphdigital.com.sg/image/straitstimes/3b1df11514151dfffb481343ae21e0d55b347e56d05917806a6a25b98fa2a0e8,"iccig06 - Two of the men arrested and the duty-unpaid cigarettes seized.


Credit: Singapore Customs",img
https://cassette.sphdigital.com.sg/image/straitstimes/edd090458425b2e2451b06bc5bbdcd7ddd4f3b6581a1c0c9cdd45174d62d822b,"They were no reported injuries, SCDF added.",img
https://cf-images.ap-southeast-1.prod.boltdns.net/v1/static/4800266888001/492865e7-c5c4-4891-b811-e7016e90b274/ebe5e22e-6738-4372-97a0-75ac00cc2e31/426x240/match/image.jpg,Conversations with The Straits Times at Temasek Junior College,img
https://cf-images.ap-southeast-1.prod.boltdns.net/v1/static/4800266888001/bf64626a-46e5-4907-9684-35278c6747c9/a8d2c999-89a3-4015-ac22-e95336526f78/426x240/match/image.jpg,President Trump appointed 13-year-old cancer survivor a Secret Service agent,img
https://cf-images.ap-southeast-1.prod.boltdns.net/v1/static/4800266888001/c646bd21-41c0-4cca-8f24-1a9a19805658/6c3c2a26-8c01-461b-b5c5-876b62a5861e/426x240/match/image.jpg,"Trump boasts of 2024 election win in address to Congress, Democrats protest",img
https://cf-images.ap-southeast-1.prod.boltdns.net/v1/static/4800266888001/acbcb7ac-e56e-4be6-8e6e-2651dc256a0e/1a494a9e-a7b6-4c73-8f3f-29b76743ba18/426x240/match/image.jpg,"2 killed, several seriously injured after car drives into crowd in Germany",img
https://cf-images.ap-southeast-1.prod.boltdns.net/v1/static/4800266888001/dbbe1c58-ef72-44a2-b545-af775fd06a51/3853f790-1a2b-4e39-8ca4-6cdabdf652ca/426x240/match/image.jpg,The woman who went undercover to understand ageing | Wong Kim Hoh Meets,img
https://cf-images.ap-southeast-1.prod.boltdns.net/v1/static/4800266888001/f885df48-51ed-466e-bb9a-c1512c71a671/cbf04ca5-8b30-4ca0-bfa2-da8d22ca30a9/426x240/match/image.jpg,3 men charged with fraud after anonymous tip-off: Shanmugam,img
https://cf-images.ap-southeast-1.prod.boltdns.net/v1/static/4800266888001/2f501c57-5ca8-4447-a761-4b15c7b54e93/7275b0fa-a685-4e4c-8064-b830a51ca2d7/426x240/match/image.jpg,Nicoll Highway multi-vehicle crash: How it happened,img
https://cf-images.ap-southeast-1.prod.boltdns.net/v1/static/4800266888001/6b8a3652-4208-4d84-a129-36e399d40372/13ea2559-fd20-4ed5-94f7-bc8e046fea05/426x240/match/image.jpg,Top picks from Kampong Gelam Ramadan Bazaar 2025,img
https://cf-images.ap-southeast-1.prod.boltdns.net/v1/static/4800266888001/19327782-9689-420c-9e01-6d737eb81de5/4b765683-d4b4-46ff-9f12-504056e4a7d4/426x240/match/image.jpg,"Clash in the White House: Key moments from Trump, Zelensky and Vance shouting match",img
https://cf-images.ap-southeast-1.prod.boltdns.net/v1/static/4800266888001/0a2b81f2-560a-4c79-b82b-4f52fc4ca4dd/46950962-a22f-4d65-9ca3-fd64bcb2869f/426x240/match/image.jpg,"'You're gambling with World War III': Trump, Zelensky meeting ends in shouting match",img
https://cf-images.ap-southeast-1.prod.boltdns.net/v1/static/4800266888001/c431b428-e759-4b79-b6fc-74087c4d232b/750e0610-8fa8-49c6-8f9f-95a14d9941b4/426x240/match/image.jpg,"Who is Catherine Wu, adviser to CDL’s Kwek Leng Beng?",img
https://cf-images.ap-southeast-1.prod.boltdns.net/v1/static/4800266888001/9ec0c943-4967-427c-ad8f-0dcd6515186a/44dbd495-a4b7-479d-968d-0f7cb8738771/426x240/match/image.jpg,Chants and screams at opening of Hume MRT station,img
https://cf-images.ap-southeast-1.prod.boltdns.net/v1/static/4800266888001/8a28283f-9411-4583-a0bc-f59f51596a98/72e207aa-4f3b-4ca8-b816-fc274d6c44ed/426x240/match/image.jpg,"‘That’s enough, thank you’: Trump cuts off Canada talk at joint press conference with British PM",img
https://cf-images.ap-southeast-1.prod.boltdns.net/v1/static/4800266888001/7c04fe68-4a55-45a8-b734-cd9ac768f53b/0d7d8d29-3808-4801-ae24-08ad934c0b03/426x240/match/image.jpg,First look: 3 things to do at Raffles Sentosa,img
https://cf-images.ap-southeast-1.prod.boltdns.net/v1/static/4800266888001/83cc1e09-c644-4fc2-a5ec-e1ea68caca11/e47fb448-d74c-4075-b434-c5ecbd4a291c/426x240/match/image.jpg,They still do: Three couples talk about love and marriage,img
https://cf-images.ap-southeast-1.prod.boltdns.net/v1/static/4800266888001/16bec64b-d136-4b7d-9b75-4ff394cef15b/5bde62a1-cac1-465f-afb1-092df02d7623/426x240/match/image.jpg,Dignity Kitchen founder Koh Seng Choon is Singaporean of the Year 2024,img
https://cf-images.ap-southeast-1.prod.boltdns.net/v1/static/4800266888001/5b43e9fe-f471-4bf1-95b6-702a4452ef6d/6fe482d2-74e1-4207-b35c-9935ac46d25f/426x240/match/image.jpg,Darren Tan... from behind bars to the bar | Life After,img
https://cf-images.ap-southeast-1.prod.boltdns.net/v1/static/4800266888001/f6699baf-6473-4873-bc82-8cba6795e925/efd5cb5f-e15d-4dc5-9a0a-903f48d5fc94/426x240/match/image.jpg,Ten years of Singaporean of the Year,img
https://cf-images.ap-southeast-1.prod.boltdns.net/v1/static/4800266888001/3f3ac850-4c15-471c-a8d7-da46d4251f71/75b24175-fe91-424b-b5a7-7a07140d0017/426x240/match/image.jpg,At least 3 dead in South Korean bridge collapse,img
https://cf-images.ap-southeast-1.prod.boltdns.net/v1/static/4800266888001/96eb8185-0a44-4ea1-b2d4-6407374fa662/98aa5e32-4d9b-4961-aab6-d2cd25753fdf/426x240/match/image.jpg,Taobao opens first physical furniture store in Hong Kong,img
https://cassette.sphdigital.com.sg/image/straitstimes/fa4ef3dec109797c6f19f8be6ac520e2a034e51c6a751bc1989d3bf7af36df2f,"Both the leaders’ speeches were essentially about how to make their countries great, at a time when the two nations are engaged in strategic competition with each other.",img
https://cassette.sphdigital.com.sg/image/straitstimes/433a7a95cad85e4eb0d184f81cb6a9de62c66cd28c353f96e06963df9a9db228,"FILE PHOTO: An aerial view shows cargo vessels docked at Balboa Port, operated by Panama Ports Company, at the Panama Canal, in Panama City, Panama, February 1, 2025. REUTERS/Enea Lebrun/File Photo",img
https://cassette.sphdigital.com.sg/image/straitstimes/93df8494d1d975d7c4bc35f734eddc2358ba462e66d5885fd7efed42c3dca987,Chinese Premier Li Qiang (right) said the government will take “solid steps to implement policies and measures designed to spur the growth of the private sector”.,img
https://cassette.sphdigital.com.sg/image/straitstimes/5bc8f1a7ad2d9b015c78dd634e6828296d32ed2e8f04c957c2b08413057db4a0,"To shore up growth, the Chinese government will be allowed to run a record high fiscal deficit of around 4 per cent of its GDP.",img
https://cassette.sphdigital.com.sg/image/straitstimes/33c5085bb47029e388e0a3d98f15ffd455af42c995c3ced95d0eccb10f0e1721,"Acres volunteer Alpana Ahuja and senior wildlife coordinator Karina Lim releasing a Malayan water monitor lizard into the wild on Feb 13, 2025. It was found tied to a tree when it was rescued about a week before the release. The monitor lizard was reluctant to emerge from what the team calls their ""biggest carrier"" which measures 73cm tall and 132 cm long. ",img
https://cassette.sphdigital.com.sg/image/straitstimes/d203b15dde47d3effe2d41f4749852eb1637566b41bee0d0629bc3f8a8288f43,"A boy trying to sneak under the shutters as Hume MRT station was opened to the public for the first time at 3pm on Feb 28, 2025.",img
